id_paciente,nombre,distrito,segmento,fecha_registro
1,Fiorella Flores,San Juan de Lurigancho,Regular,03/07/2025
2,Jorge Rojas,SaN MiGuEl,Regular,2025-09-25
3,Carlos Torres,AtE,Frecuente,2025-02-10
4,Carlos Vargas,CALLAO,Nuevo,2025-09-25
5,Diego Cruz,San Miguel,FrEcUeNtE,2025-08-12
6,Carlos Paredes,Ventanilla,Premium,2025-09-27
7,Marco Quispe,independencia,Frecuente,2025-03-24
8,Raul Flores,Ate,Nuevo,2025-08-14
9,Jorge Ramos,Chorrillos,Frecuente,2025-09-04
10,Lucia Reyes,La Molina,NuEvO,05-03-2025
11,Jose Rojas,ViLlA El sAlVaDoR,ReGuLaR,2025-02-14
12,Rocio Reyes,CaLlAo,  Premium ,2025-03-20
13,,Los Olivos,  Premium ,2025-02-10
14,Elena Paredes,VILLA EL SALVADOR,Frecuente,2025-10-04
15,,Lima,CORPORATIVO,2025-11-26
16,Carlos Flores,San Juan de Lurigancho,Premium,2025-07-24
17,Andre Cruz,San Juan de Lurigancho,Regular,2025-01-27
18,Elena Paredes,Independencia,Premium,2025/01/11
19,marco sayan,La Molina,nuevo,2025-05-19
20,Ana Flores,Villa El Salvador,NUEVO,2025-01-08
21,Victor Salazar,La Molina,Corporativo,25/08/2025
22,Carlos Cruz,Ventanilla,Regular,2025-09-02
23,Lucia Ramos,  Los Olivos ,Premium,2025-03-22
24,Sofia Cruz,Villa El Salvador,Frecuente,2025-07-20
25,Victor Ramos,La Molina,Regular,2025-12-13
26,Luis Huaman,Ate,Premium,2025-12-13
27,Jose Soto,Miraflores,Frecuente,2025-11-09
28,Camila Castillo,Miraflores,Frecuente,2025-10-16
29,Andre Salazar,Lima,Premium,2025-05-06
30,FiOrElLa tOrReS,  Surco ,Premium,2025-08-24
31,Lucia Huaman,CHORRILLOS,,2025-04-07
32,Maria Reyes,Chorrillos,Premium,2025-11-27
33,Luis Ramos,Comas,Corporativo,2025-04-27
34,carlos castillo,Ventanilla,Corporativo,2025-02-16
35,Rocio Rojas,Independencia,FrEcUeNtE,01/10/2025
36,Luis Paredes,,Nuevo,2025-01-20
37,pedro soto,San Miguel,corporativo,2025-01-15
38,Sofia Cruz,  Chorrillos ,Premium,2025-10-10
39,Andre Navarro,Lima,Frecuente,2025-03-07
40,Jose Mendoza,Lima,Corporativo,2025-08-23
41,Jorge Mendoza,San Miguel,  Regular ,02/03/2025
42,Marco Navarro,La Molina,Premium,2025-04-01
43,Miguel Salazar,VILLA EL SALVADOR,Regular,2025-01-13
44,Carlos Mendoza,Lima,Frecuente,2025-01-26
45,Pedro Navarro,Villa El Salvador,Premium,2025-02-10
46,Sofia Cruz,Los Olivos,Corporativo,2025-12-25
47,Sofia Quispe,chorrillos,Regular,2025-10-11
48,Diego Ramos,Ventanilla,CORPORATIVO,2025-09-16
49,Valeria Ramos,Surco,Nuevo,2025-10-04
50,Maria Ramos,Callao,Frecuente,2025-09-12
51,Miguel Paredes,La Molina,Frecuente,2025-12-03
52,CARLOS QUISPE,Surco,Regular,2025-06-15
53,Elena Vargas,MiRaFlOrEs,Regular,2025-05-06
54,Andre Cruz,Miraflores,Premium,
55,Jorge Flores,miraflores,Premium,2025-07-20
56,Rocio Sayan,Comas,NUEVO,2025-01-25
57,Pedro Campos,  Chorrillos ,corporativo,2025-11-01
58,Marco Gomez,San Miguel,Premium,2025-08-06
59,Claudia Cruz,Miraflores,Regular,2025-07-17
60,Luis Soto,Ate,Regular,2025-12-01
61,Maria Cruz,,Frecuente,2025-06-26
62,Valeria Gomez,  Ate ,Premium,2025-11-26
63,Sofia Reyes,Chorrillos,REGULAR,2025-07-25
64,Victor Vargas,Independencia,Premium,2025-04-09
65,Ana Paredes,LOS OLIVOS,Nuevo,2025-04-21
66,Diana Castillo,Ventanilla,Corporativo,2025/05/13
67,Miguel Navarro,los olivos,,2025-10-08
68,Marco Salazar,  Comas ,Corporativo,2025-01-26
69,Diana Castillo,Lima,  Nuevo ,2025-01-23
70,Raul Reyes,Chorrillos,Regular,2025-10-13
71,Jorge Quispe,Callao,PrEmIuM,2025-02-10
72,Andre Soto,Villa El Salvador,Frecuente,2025-04-02
73,Diego Vargas,San Juan de Lurigancho,Corporativo,2025-05-17
74,Rocio Cruz,LiMa,Regular,2025-06-08
75,Fiorella Vargas,  Chorrillos ,Frecuente,2025-07-17
76,Marco Flores,Lima,Premium,2025-11-10
77,Fiorella Gomez,Ventanilla,Frecuente,27-01-2025
78,,,Regular,2025-09-10
79,Lucia Campos,Miraflores,Frecuente,2025-01-01
80,Victor Navarro,La Molina,Regular,2025-03-25
81,Andre Flores,San Miguel,nuevo,2025-01-22
82,Camila Navarro,Surco,Frecuente,2025-03-08
83,  Diego Soto ,Los Olivos,Premium,2025-02-10
84,Diana Vargas,San Juan de Lurigancho,Frecuente, 2025-10-27 
85,pedro paredes,San  Miguel,  Corporativo ,2025-10-25
