id_reserva,fecha_operacion,cantidad_habitaciones,noches_estadia,tarifa_noche,descuento_pct,canal,metodo_pago,calificacion,monto_reserva,observacion,hoteles_nombre,hoteles_distrito,hoteles_zona,habitaciones_nombre,habitaciones_categoria,habitaciones_tarifa_noche,huespedes_nombre,huespedes_distrito,huespedes_segmento,huespedes_fecha_registro
1,2026-06-23,8 aprox,9,88.18,5 aprox,App,Plin, 4 ,268.05,Revisar,Hotel 5,Lima,Norte,Simple,Estandar,88.18,,San Miguel,Regular,2025-02-18
2,2026-03-04,6 aprox,5,290.5,8,whatsapp,Efectivo,4,1443.05,Revisar,Hotel 7,  Miraflores ,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Rocio Campos,  Ventanilla ,Frecuente,2025-09-28
3,14/05/2026,2,6, 351.23 ,0,Telefono,Efectivo,2,415.34,Promocion,Hotel 6,Callao,Este,Bungalow,Especial,351.23,Sofia Huaman,Chorrillos,Corporativo,2025-03-04
4,2026-02-08,8,9,290.5 aprox, 10 ,Presencial,Efectivo,1,492.36,,Hotel 5,Lima,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Rocio Campos,  Ventanilla ,Frecuente,2025-09-28
5,2026-04-23,6,5,290.5,5,  Telefono ,Transferencia,4,394.22,Cliente frecuente,Hotel 5,Lima,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Sofia Huaman,Chorrillos,Corporativo,2025-03-04
6,2026-03-11,2,8,290.5,0,Telefono,Tarjeta,1,363.53,Revisar,Hotel 4,Independencia,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Claudia Sayan,  Villa El Salvador ,Corporativo,2025-06-07
7,2026-02-04,8,7,369.86,8,Web,Plin,2,559.16,,Hotel 6,Callao,Este,Habitacion vista mar,,369.86,Victor Castillo,  Ventanilla ,Nuevo,2025-08-24
8,2026-03-26,2,3,88.18,0,Web,Transferencia,4,149.48,,Hotel 2,SAN MIGUEL,  Oeste ,Simple,Estandar,88.18,Rocio Salazar,San Miguel,Corporativo,2025-05-21
9,2026-06-15,6,7, 369.86 ,10,Telefono,Yape,1 aprox,,Promocion,Hotel 5,Lima,Norte,Habitacion vista mar,,369.86,Diego Flores,La mOlInA,  Frecuente ,2025-07-06
10,2026-02-24,6,3,425.95,15,Telefono,Transferencia,5,547.69,Ok,Hotel 4,Independencia,Norte,Suite  ejecutiva,suite,425.95,Sofia Torres,MIRAFLORES,Nuevo,2025-01-15
11,2026/02/15,5,10,290.5,8,,Plin,2 aprox,393.45,Revisar,Hotel 1,LOS OLIVOS,Centro,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Elena Reyes,Ate,Regular,2025-07-10
12,2026/05/06,1,5,425.95,8,Telefono,Yape,4,489.54,Revisar,Hotel 4,Independencia,Norte,Suite  ejecutiva,suite,425.95,Ana Castillo,Villa El Salvador,Regular,2025-02-14
13,2026-03-11,2,8,290.5,0,Telefono,Tarjeta,1,363.53,Revisar,Hotel 4,Independencia,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Claudia Sayan,  Villa El Salvador ,Corporativo,2025-06-07
