id_cliente,nombre,distrito,segmento,fecha_registro
1,VALERIA QUISPE,Callao,Nuevo,2025-06-04
2,Miguel Flores,San Juan de Lurigancho,Frecuente,2025-01-16
3,Jorge Ramos,Ate,  Nuevo ,2025-09-20
4,Elena Rojas,CHORRILLOS,PrEmIuM,2025-08-03
5,Miguel Flores,La Molina,CoRpOrAtIvO,2025-10-23
6,Raul Salazar,Lima,Premium,2025-03-04
7,Miguel Quispe,Callao,CORPORATIVO,07-01-2025
8,Maria Quispe,San Miguel,Corporativo,2025-10-22
9,,Lima,frecuente,2025-05-06
10,Sofia Vargas,San Juan de Lurigancho,Nuevo,2025-02-06
11,,Ate,Premium,2025-10-09
12,Camila Quispe,Independencia,Nuevo,2025-08-16
13,Victor Castillo,Comas,Premium,2025-09-06
14,Miguel Cruz,Callao,Premium,2025-08-03
15,Elena Reyes,San Juan de Lurigancho,Corporativo,2025-11-19
16,Miguel  Cruz,Surco,Regular,15/12/2025
17,Victor Reyes,Callao,,2025-05-11
18,Maria Campos,Independencia,corporativo,2025-09-14
19,Raul Reyes,,Corporativo,2025-11-16
20,Carlos Huaman,Chorrillos,Premium,2025-10-20
21,Ana Campos,Villa El Salvador,Premium,2025-11-12
22,Jorge Castillo,San Miguel,Premium,2025-08-27
23,Victor Sayan,Chorrillos,,2025-09-16
24,Andre Mendoza,Ate,Frecuente,2025/10/26
25,pedro huaman,Los Olivos,Nuevo,2025-10-17
26,Claudia Mendoza,Villa El Salvador,Corporativo,2025-09-03
27,Marco Paredes,  La Molina ,Premium,2025-10-13
28,Diego Sayan,,Nuevo,2025-05-16
29,Diana Torres,Callao,Premium,2025-04-06
30,Sofia Reyes,San Juan de Lurigancho,Frecuente,2025-02-13
31,Miguel Paredes,Miraflores,Premium,2025-06-28
32,Ana Vargas,San Miguel,  Corporativo ,2025-06-15
33,Lucia Campos,  Independencia ,Frecuente,2025-05-03
34,Miguel Mendoza,Comas,Corporativo,2025-06-02
35,Luis Torres,Ate,Premium,2025-06-12
36,Jorge Gomez,Villa El Salvador,Frecuente,2025-09-16
37,Andre Gomez,ATE,Premium,2025-12-21
38,Maria Paredes,Surco,CORPORATIVO,2025-09-19
39,Diego Gomez,Ventanilla,Corporativo,2025-06-05
40,Claudia Rojas,San Juan de Lurigancho,Corporativo,06/01/2025
41,Carlos Quispe,San Miguel,CORPORATIVO,2025-04-17
42,Fiorella Mendoza,Los Olivos,Premium,2025-12-22
43,Pedro Navarro,Surco,  Premium ,
44,,San Juan de Lurigancho,Frecuente,2025-04-19
45,Ana Rojas,Chorrillos,Nuevo,2025-04-09
46,Luis Gomez,Ate,Corporativo,2025/09/13
47,Fiorella Gomez,Chorrillos,Regular,2025-08-09
48,Ana Navarro,San Miguel,Regular, 2025-12-17 
49,Elena Paredes,Los Olivos,Corporativo,2025-02-27
50,Luis Rojas,San  Juan  de  Lurigancho,nuevo,2025/10/18
51,Miguel Navarro,La Molina,Regular,2025-06-17
52,Fiorella Gomez,Lima,Corporativo,16-04-2025
53,Sofia Ramos,Ventanilla,Frecuente, 2025-01-03 
54,Carlos Soto,Callao,Nuevo,2025-07-25
55,Carlos Flores,Chorrillos,Regular,2025-11-05
56,Victor Navarro,San Miguel,Premium,2025-07-05
57,Miguel Vargas,Ventanilla,Corporativo,2025-06-06
58,Valeria Reyes,Chorrillos,Frecuente,2025-10-05
59,Maria Huaman,  Chorrillos ,Frecuente,2025-12-18
60,Marco Reyes,MIRAFLORES,Regular,2025-02-28
61,Diana Castillo,,Regular,12/05/2025
62,Victor Flores,Independencia,Corporativo,2025-05-05
63,DIEGO SALAZAR,LoS OlIvOs,,2025-02-13
64,Jose Huaman,  Ventanilla ,Regular,2025-03-18
65,Claudia Ramos,Lima,Corporativo,2025-05-04
66,Jorge Mendoza,Independencia,Frecuente,2025-12-13
67,Raul Navarro,SURCO,PREMIUM,2025-05-27
68,Raul Sayan,Ventanilla,Corporativo,2025-08-09
69,Luis Paredes,ate,Corporativo,2025-01-22
70,Pedro Salazar,Ventanilla,Nuevo,2025-02-01
71,ELENA CRUZ,Ventanilla,Corporativo,2025-10-03
72,Fiorella Paredes,La  Molina,Corporativo,2025-09-26
73,Claudia Soto,,Nuevo,2025-04-25
74,Valeria Paredes,LoS OlIvOs,Corporativo,2025-04-15
75,Fiorella Huaman,Ventanilla,Premium,2025-05-05
76,Sofia Gomez,Ventanilla,FRECUENTE,2025-06-17
77,Valeria Torres,Chorrillos,Corporativo,2025-09-22
78,Elena Salazar,SURCO,Frecuente,2025-09-18
79,Fiorella Ramos,Surco,Regular, 2025-06-26 
80,Miguel Reyes,Surco,Premium,2025/01/09
81,Valeria Ramos,Villa El Salvador,Premium,2025/01/15
82,Diego Huaman,miraflores,Nuevo,2025-07-07
83,Ana Soto,San Miguel,Regular,2025-08-22
84,Diego Soto,Miraflores,Corporativo, 2025-08-06 
85,Fiorella Soto,Lima,FrEcUeNtE,2025-11-19
