id_envio,fecha_operacion,cantidad_paquetes,peso_paquete_kg,tarifa_base,descuento_pct,canal,metodo_pago,calificacion,costo_envio,observacion,sedes_nombre,sedes_distrito,sedes_zona,tipos_envio_nombre,tipos_envio_categoria,tipos_envio_tarifa_base,clientes_nombre,clientes_distrito,clientes_segmento,clientes_fecha_registro
1, 2026-04-25 ,5,34.69,51.69,10,Web,Transferencia,2,120.31,,  Sede 2 ,Chorrillos,Sur,Fragil,  Especial ,51.69,Jorge Ramos,Ate,  Nuevo ,2025-09-20
2,2026-05-05,5,18.07,118.81,15,Presencial,Transferencia,2,"159,22",Promocion,Sede 5,lima,Oeste,Mudanza pequena,Volumen,118.81,Miguel Navarro,La Molina,Regular,2025-06-17
3,2026-01-25,1,9.75,118.81,15,App,Tarjeta,2,112.19,,  Sede 2 ,Chorrillos,Sur,Mudanza pequena,Volumen,118.81,Valeria Ramos,Villa El Salvador,Premium,2025/01/15
4,2026-05-01,4,,118.81, 10 ,App,Transferencia,3,,Revisar,Sede 1,,  Este ,Mudanza pequena,Volumen,118.81,Sofia Vargas,San Juan de Lurigancho,Nuevo,2025-02-06
5,2026-04-26,7,17.24,S/ 43.99,15,Presencial,Yape,3,113.2,Promocion,Sede 6,Surco,centro,Paquete grande,Regular,43.99,Miguel Quispe,Callao,CORPORATIVO,07-01-2025
6,2026-02-09,4,25.86,76.22,0,Web,  Transferencia ,3,131.51,Promocion,Sede 4,SaN MiGuEl,  Este ,Express,,76.22,Maria Huaman,  Chorrillos ,Frecuente,2025-12-18
7,2026-04-21,8,30.29,26.64,5,TeLeFoNo,Efectivo,3,109.95 aprox,Promocion,Sede 5,lima,Oeste,Paquete mediano,Regular,26.64,,San Juan de Lurigancho,Frecuente,2025-04-19
8,2026-04-23,5,17.8,26.64,5,,Transferencia,4,114.45,,Sede 1,,  Este ,Paquete mediano,Regular,26.64,Diego Sayan,,Nuevo,2025-05-16
9,2026-02-23,5,22.27,89.36,8,presencial,PlIn,4,155.02,Promocion,Sede 5,lima,Oeste,Refrigerado,EsPeCiAl,89.36,Diana Castillo,,Regular,12/05/2025
10, 2026-02-19 ,5,24.87,26.64,8,Web,TRANSFERENCIA,3,85.05,,Sede 1,,  Este ,Paquete mediano,Regular,26.64,pedro huaman,Los Olivos,Nuevo,2025-10-17
11,2026-03-13,2,7.97,76.22,5,Telefono,yape,1,81.13,REVISAR,Sede 5,lima,Oeste,Express,,76.22,Jorge Gomez,Villa El Salvador,Frecuente,2025-09-16
12,2026-04-05,,24.44,76.22,15,Telefono,Transferencia,3,115.29,,Sede 1,,  Este ,Express,,76.22,Lucia Campos,  Independencia ,Frecuente,2025-05-03
13,2026-04-26,7,17.24,S/ 43.99,15,Presencial,Yape,3,113.2,Promocion,Sede 6,Surco,centro,Paquete grande,Regular,43.99,Miguel Quispe,Callao,CORPORATIVO,07-01-2025
14,2026-05-02,2,1.71,43.99,8,APP,Tarjeta,3,199.42,,Sede 1,,  Este ,Paquete grande,Regular,43.99,Diego Gomez,Ventanilla,Corporativo,2025-06-05
