id_registro,fecha_operacion,clases_tomadas,asistencias_mes,tarifa_plan,descuento_pct,canal,metodo_pago,calificacion,pago_mensual,observacion,sedes_nombre,sedes_distrito,sedes_zona,planes_nombre,planes_categoria,planes_tarifa_plan,socios_nombre,socios_distrito,socios_segmento,socios_fecha_registro
1,2026-02-25,,28,117.96,12,Telefono,Plin,3,193.05,Revisar,Sede 2,Callao,Oeste,,MeNsUaL,117.96,Marco Cruz,Lima,Regular,2025-05-24
2,2026-02-26,2,4,196.44,8,Telefono,Efectivo,5,193.4,ClIeNtE FrEcUeNtE,Sede 4,Comas,Oeste,Plan familiar,Familiar,196.44,Carlos Soto,  Independencia ,Frecuente,2025-12-23
3,2026-04-14,8,17,210.83,0,App,Tarjeta, 3 ,265.51,,Sede 3,Miraflores,Centro,Personalizado,Premium,210.83,Marco Flores,Chorrillos,Regular,2025-10-01
4,2026-03-02,2,10,127.31,0,Telefono,Plin,4,166.83,Promocion,Sede 6,Surco,Este,Cross training,Especial,127.31,Andre Torres,villa el salvador,REGULAR,2025-11-16
5,2026-01-28,8,13,88.04,15,Telefono,EfEcTiVo,1,118.11,Cliente  frecuente,Sede 6,Surco,Este,Yoga,Especial,88.04,Lucia Paredes,AtE,ReGuLaR, 2025-08-01 
6,2026-05-25,1,8,137.44,15 aprox,Web,TRANSFERENCIA,2,177.97,,Sede 4,Comas,Oeste,Plan premium,Mensual,137.44,  Miguel Sayan ,San Juan de Lurigancho,Corporativo,2025-02-23
7,2026-02-02,4,8,210.83,12,  Web ,Yape,3,229.96,Revisar,Sede 3,Miraflores,Centro,Personalizado,Premium,210.83,Diego Quispe,Ventanilla,corporativo,2025-01-07
8,2026-06-05,1,27,71.82,8,WhatsApp,Tarjeta,1,142.33,revisar,Sede 2,Callao,Oeste,Plan basico,Mensual,71.82,Maria Cruz,Chorrillos,Premium,2025-10-28
9,2026-04-12,2,4,127.31,10,Telefono,TARJETA,5,150.67,,Sede 4,Comas,Oeste,Cross training,Especial,127.31,Andre Torres,Ventanilla,Corporativo,2025-11-11
10,2026-04-27,1,26,71.82,0,Telefono,,2,,,Sede 6,Surco,Este,Plan basico,Mensual,71.82,Ana Torres,,Regular,2025-10-09
11,2026-02-14,4,6, 127.31 ,5,App,Plin,1,156.74,OK,Sede 3,Miraflores,Centro,Cross training,Especial,127.31,Jose Vargas,Ate,Regular,2025/08/04
12, 2026-04-09 ,8,12,127.31,8,Web,Tarjeta,3,197.84,,Sede 3,Miraflores,Centro,Cross training,Especial,127.31,Maria Cruz,ate,Frecuente,2025-05-12
13,2026-01-05,8,23,127.31,0,Presencial,Plin,5,197.43,OK,Sede 2,Callao,Oeste,Cross training,Especial,127.31,Ana Torres,,Regular,2025-10-09
14,2026-04-03,2,19,137.44,12,Web,Plin,2,154.53,Promocion,Sede 1,Ate,Este,Plan premium,Mensual,137.44,Camila Navarro,Miraflores,Frecuente,2025-09-14
15,2026-03-12,4,25,196.44,,WhatsApp,Efectivo,4,273.2,Revisar,Sede 2,Callao,Oeste,Plan familiar,Familiar,196.44,Andre Cruz,Surco,premium,2025/02/04
16,2026-02-23,1,28,117.96 aprox,20,App,,5,216.62,,Sede 5,Villa El Salvador,Centro,,MeNsUaL,117.96,Luis Castillo,Callao,Nuevo,02/05/2025
17,2026-02-07, 1 ,22,210.83,0 aprox,Presencial,Plin,2,266.24,Cliente frecuente,Sede 1,Ate,Este,Personalizado,Premium,210.83,,Los Olivos,Corporativo,2025-06-19
18,2026-01-21,3,14,210.83,12,App,Plin,5,254.29,OK,Sede 5,Villa El Salvador,Centro,Personalizado,Premium,210.83,Carlos Rojas,CHORRILLOS,Regular,2025-10-08
19,2026-06-08,4,2,196.44,0,Web,Efectivo,5,190.93,Revisar,Sede 5,Villa El Salvador,Centro,Plan familiar,Familiar,196.44,Valeria Soto,INDEPENDENCIA,Premium,2025-11-25
20,2026-01-13,8, 18 ,127.31,12,Telefono,Yape,1,203.17,,Sede 1,Ate,Este,Cross training,Especial,127.31,Carlos Rojas,CHORRILLOS,Regular,2025-10-08
21,2026-04-08,7,28,98.26,12,Presencial,Efectivo,1,,,Sede 5,Villa El Salvador,Centro,FuNcIoNaL,Especial,98.26,Valeria Soto,INDEPENDENCIA,Premium,2025-11-25
22,2026-05-24,4,17,127.31,15,Web,,3,170.95,Promocion,Sede 1,Ate,Este,Cross training,Especial,127.31,Camila Flores,lima,Corporativo,2025-03-22
23,2026-04-11,2,19,127.31,,WhatsApp,Transferencia,5,191.01 aprox,,Sede 5,Villa El Salvador,Centro,Cross training,Especial,127.31,Lucia Rojas,Surco,Frecuente,2025-09-17
24, 2026-03-28 ,3,,196.44,0,Presencial,  Transferencia ,2,,Revisar,Sede 2,Callao,Oeste,Plan familiar,Familiar,196.44,Carlos Vargas,Los Olivos,Regular,02-09-2025
25,,4,14,210.83,0,Web,Efectivo,3,262.13,OK,Sede 7,Ventanilla,,Personalizado,Premium,210.83,Maria Cruz,ate,Frecuente,2025-05-12
26,2026-01-05,8,23,127.31,0,Presencial,Plin,5,197.43,OK,Sede 2,Callao,Oeste,Cross training,Especial,127.31,Ana Torres,,Regular,2025-10-09
27,2026-01-19,3,5,210.83,0 aprox,Web,Efectivo,2,231.14,Cliente frecuente,Sede 5,Villa El Salvador,Centro,Personalizado,Premium,210.83,Andre Cruz,Surco,premium,2025/02/04
28,2026-03-23,3,17,137.44,12,Presencial,Tarjeta,5,192.03,OK,Sede 6,Surco,Este,Plan premium,Mensual,137.44,Lucia Navarro,Miraflores,Regular,2025-07-10
29,2026-02-04,1,7,55.86,12,WhatsApp,EFECTIVO,4,306.08,,Sede 1,Ate,Este,Plan estudiante,,55.86,,,Premium,2025-08-18
30,2026-05-11,7,13,98.26,12,WhatsApp,Tarjeta,1,160.03,,Sede 4,Comas,Oeste,FuNcIoNaL,Especial,98.26,Lucia Soto,Villa El Salvador,Frecuente,2025-12-01
31,2026-06-27,7,12,196.44,10,  Telefono ,Yape, 5 ,236.11,Cliente frecuente,Sede 3,Miraflores,Centro,Plan familiar,Familiar,196.44,Fiorella Campos,Los Olivos,Nuevo,2025-06-13
32,2026-06-18,3,17,117.96,0,Web,Efectivo,3,179.8,ClIeNtE FrEcUeNtE,Sede 6,Surco,Este,,MeNsUaL,117.96,Camila Salazar,San Miguel,Nuevo,2025-02-16
33,2026-03-07,5,28,98.26,5,App,Efectivo,2,185.89,,Sede 6,Surco,Este,FuNcIoNaL,Especial,98.26,Rocio Sayan,Chorrillos,Frecuente,2025-03-01
34,2026-05-17,5,22,71.82,15,Presencial,Efectivo,3,154.59,Promocion,Sede 6,Surco,Este,Plan basico,Mensual,71.82,Maria Cruz,Chorrillos,Premium,2025-10-28
35,2026-01-14,8,,117.96,0,Telefono,transferencia,1,201.59,,Sede 7,Ventanilla,,,MeNsUaL,117.96,Raul Flores,  San Juan de Lurigancho ,Corporativo,2025-06-20
36,02-04-2026,6,21,71.82,12,WhatsApp,Transferencia,5,157.43,Promocion,Sede 6,Surco,Este,Plan basico,Mensual,71.82,Lucia Paredes,AtE,ReGuLaR, 2025-08-01 
37,2026-04-23,6,14,,8,Telefono,Yape,3,169.79,Cliente frecuente,Sede 5,Villa El Salvador,Centro,Yoga,Especial,88.04,Camila Flores,lima,Corporativo,2025-03-22
