id_cliente,nombre,distrito,segmento,fecha_registro
1,Pedro Salazar,La Molina,Regular,28/08/2025
2,Miguel Salazar,Miraflores,Premium,19-08-2025
3,Lucia Campos,Villa El Salvador,Frecuente,2025-08-03
4,Camila Castillo,Villa El Salvador,Premium,2025-10-18
5,Diana  Soto,Lima,ReGuLaR,2025-02-19
6,Rocio Reyes,Villa El Salvador,nuevo,2025-10-23
7,Diana Sayan,LA MOLINA,Corporativo,2025-05-16
8,Victor Castillo,Villa El Salvador,Premium,2025-01-13
9,Rocio Torres,,Corporativo,2025-10-08
10,Marco Rojas,Chorrillos,Regular,2025-11-23
11,Pedro Gomez,Miraflores,regular,2025-10-08
12,Maria Reyes,Comas,Nuevo,2025-09-12
13,Miguel Campos,Comas,Frecuente,2025-08-27
14,Marco Soto,San Juan de Lurigancho,,2025-06-21
15,Pedro Flores,Comas,Premium,2025-04-07
16,Elena Reyes,COMAS,Nuevo,2025-05-21
17,Carlos Ramos,Ventanilla,Corporativo,2025-08-24
18,Claudia Quispe,San Juan de Lurigancho,Premium,2025-03-28
19,Claudia Reyes,San Miguel,Premium,2025-01-17
20,Victor Gomez,Lima,Regular,2025/05/07
21,,Miraflores,Nuevo,2025-09-07
22,Raul Reyes,Ventanilla,PREMIUM,2025-11-24
23,Miguel Cruz,Ventanilla,Frecuente,2025-09-14
24,Fiorella Salazar,San Miguel,Premium,2025-09-13
25,Rocio Mendoza,San Juan de Lurigancho,Nuevo,2025-04-10
26,Sofia Cruz,Miraflores,Regular,2025-02-18
27,  Carlos Paredes ,VeNtAnIlLa,Corporativo,2025-01-15
28,Miguel Castillo,Los Olivos,Frecuente,2025-01-23
29,DiEgO CaMpOs,Surco,Nuevo,2025-04-11
30,Luis Mendoza,surco,Frecuente,2025-07-20
31,Camila Huaman,,Frecuente,2025/11/10
32,Pedro Huaman,  San Miguel ,Corporativo,2025-11-25
33,Pedro Paredes,San Juan de Lurigancho,Regular,2025-11-07
34,Diana  Quispe,Surco,Regular,2025-01-05
35,Jorge Paredes,La Molina,Nuevo,2025-02-09
36,Fiorella Torres,LOS OLIVOS,Nuevo,2025-03-27
37,camila torres,Ventanilla,Regular,2025-01-26
38,Camila Mendoza,Lima,Frecuente,2025-10-17
39,Claudia Salazar,San Miguel,  Nuevo ,2025-03-05
40,Carlos Torres,Chorrillos,Premium,2025-04-01
41,Sofia Navarro,Surco,Premium,2025-10-26
42,Andre Mendoza,Los Olivos,Nuevo,2025-09-01
43,Jorge Reyes,Independencia,Frecuente,2025-04-10
44,Miguel Salazar,Ate,Frecuente,2025-06-11
45,Maria Sayan,Villa El Salvador,,2025-12-04
46,Diana Quispe,Villa El Salvador,Premium,2025-10-26
47,LUIS TORRES,San Juan de Lurigancho,Premium,2025-04-20
48,,INDEPENDENCIA,Frecuente,2025-09-25
49,Jose Quispe,Ventanilla,Nuevo,2025-09-05
50,Valeria Torres,Surco,Corporativo,2025-03-15
51,Diego Flores,San Miguel,Corporativo,2025-03-07
52,Carlos Cruz,Surco,Premium,2025-12-11
53,Carlos Salazar,Surco,Frecuente,2025-11-22
54,Jose Sayan,Los Olivos,Premium,03/06/2025
55,Raul Navarro,Ventanilla,Corporativo,2025-10-19
56,  Diana Rojas ,Lima,Nuevo,2025-03-12
57,Pedro Torres,Villa El Salvador,Regular, 2025-05-11 
58,Miguel Campos,Ventanilla,Regular,2025-01-12
59,Victor Reyes,San Juan de Lurigancho,Nuevo,2025-09-15
60,Andre Flores,Los Olivos,Regular,2025-05-23
61,Maria Salazar,Callao,Nuevo,2025-07-16
62,Camila Rojas,La Molina,Frecuente,2025-12-26
63,Victor Reyes,LOS OLIVOS,Frecuente,2025-02-08
64,Andre Salazar,Chorrillos,Nuevo, 2025-07-12 
65,Marco Navarro,Chorrillos,Corporativo,2025-11-19
66,Carlos Paredes,Independencia,Nuevo,2025-03-14
67,Miguel Ramos,Ventanilla,Premium,2025-04-21
68,ANDRE GOMEZ,Ate,,2025-01-10
69,Pedro Cruz,La Molina,Premium,2025-11-25
70,Diego Sayan,  Independencia ,Corporativo,2025-07-10
71,Claudia Gomez,Callao,  Frecuente ,2025-03-25
72,Diana Rojas,Callao,Regular,2025-02-05
73,Victor Navarro,CHORRILLOS,Premium,2025-03-25
74,Raul Salazar,Ate,Nuevo,2025/10/07
75,Fiorella Castillo,Ate,Regular,2025-09-19
76,Andre Castillo,Ate,Nuevo,2025-11-03
77,Fiorella Cruz,chorrillos,Frecuente,2025-04-07
78,Sofia Torres,Chorrillos,NUEVO,2025-05-14
79,Luis Flores,San Miguel,Nuevo,2025-08-19
80,Rocio Ramos,Comas,Premium,2025-06-02
81,Camila Ramos,Los Olivos,Premium,2025-09-15
82,Raul Torres,Ate,Corporativo,08-08-2025
83,Rocio Soto,San Juan de Lurigancho,Regular,2025-07-12
84,Diana Flores,La Molina,Nuevo,2025-12-16
85,Rocio Salazar,ATE,Frecuente,2025-01-05
