id_orden,fecha_operacion,cantidad_repuestos,horas_trabajo,tarifa_base,descuento_pct,canal,metodo_pago,calificacion,costo_reparacion,observacion,sedes_nombre,sedes_distrito,sedes_zona,servicios_nombre,servicios_categoria,servicios_tarifa_base,clientes_nombre,clientes_distrito,clientes_segmento,clientes_fecha_registro
1,2026/06/05,2,6.96,111.57,15,Presencial,Yape,5,441.77,Revisar,Sede 5,Independencia,Este,Diagnostico scanner,Diagnostico,111.57,Victor Gomez,Lima,Regular,2025/05/07
2,2026-06-10,8,11.12,143.51,0,WEB,Plin,4,,,Sede 5,Independencia,Este,Revision electrica,,143.51,,INDEPENDENCIA,Frecuente,2025-09-25
3,2026-02-18,3,4.7,111.57,10,App,Transferencia,3,354.71,Promocion,Sede 3,,Oeste,Diagnostico scanner,Diagnostico,111.57,  Diana Rojas ,Lima,Nuevo,2025-03-12
4,2026-04-22,5,4.62,482.37,0,Telefono,YaPe,1,629.9,,Sede 3,,Oeste,Embrague,Mecanica,482.37,  Carlos Paredes ,VeNtAnIlLa,Corporativo,2025-01-15
5,24/01/2026,,5.82,77.01,0,App,Plin,3, 337.3 ,Cliente frecuente,SEDE 7,Chorrillos,Este,Alineamiento,Mantenimiento,77.01,Rocio Salazar,ATE,Frecuente,2025-01-05
6, 2026-04-02 ,6,8.18,215.96,12,Telefono,Plin,2,612.64,,Sede 4,Ate,  Este ,Afinamiento,Motor,215.96,Maria Sayan,Villa El Salvador,,2025-12-04
7,2026-04-04,8,0.92,143.51,15,App,Yape,2,295.97,Revisar,Sede 6,Independencia,Oeste,Revision electrica,,143.51,Diana Quispe,Villa El Salvador,Premium,2025-10-26
8,2026-02-22,2,8.81,215.96,0,,Yape,1,590.01,,Sede 1,Ate,Sur,Afinamiento,Motor,215.96,Miguel Ramos,Ventanilla,Premium,2025-04-21
9,2026-02-02,3, 4.16 ,S/ 111.57,0 aprox,telefono,Tarjeta,3,351.75,Ok,Sede 4,Ate,  Este ,Diagnostico scanner,Diagnostico,111.57,Miguel Castillo,Los Olivos,Frecuente,2025-01-23
10,2026-03-20,7,8.59,215.96,5,Web,Efectivo,2,630.94,Promocion,Sede 2,AtE,Sur,Afinamiento,Motor,215.96,Marco Soto,San Juan de Lurigancho,,2025-06-21
11,2026-04-15, 2 ,8.17,S/ 143.51,0,App,Transferencia,4,516.86,   ,Sede 2,AtE,Sur,Revision electrica,,143.51,Lucia Campos,Villa El Salvador,Frecuente,2025-08-03
12,2026-03-21,8,1.72,90.23,15,App,Efectivo,4,324.57,,Sede 6,Independencia,Oeste,Cambio de aceite,Mantenimiento,90.23,Raul Reyes,Ventanilla,PREMIUM,2025-11-24
13,2026-02-19,1,"8,3",275.62,0,Presencial,Yape,2, 594.98 ,Revisar,Sede 1,Ate,Sur,SuSpEnSiOn,MECANICA,275.62,Luis Flores,San Miguel,Nuevo,2025-08-19
14,2026-06-02,3,11.8,143.51,15,Web,Yape,2,651.05,OK,Sede 2,AtE,Sur,Revision electrica,,143.51,Camila Ramos,Los Olivos,Premium,2025-09-15
15,28-05-2026,5,10.14,90.23,0,WhatsApp,EFECTIVO,3,1991.14,,Sede 5,Independencia,Este,Cambio de aceite,Mantenimiento,90.23,Pedro Torres,Villa El Salvador,Regular, 2025-05-11 
16,2026-02-23,8,5.53, 90.23 ,15,Web,  Yape ,4,415.58,Promocion,Sede 5,Independencia,Este,Cambio de aceite,Mantenimiento,90.23,Pedro Salazar,La Molina,Regular,28/08/2025
17,2026-02-27,3,"0,63",111.57,20 aprox,WhatsApp,Tarjeta,3,195.02,Promocion,Sede 3,,Oeste,Diagnostico scanner,Diagnostico,111.57,Pedro Cruz,La Molina,Premium,2025-11-25
18,2026-02-03, 4 ,6.06,90.23,12,App,transferencia,2, 371.54 ,Revisar,Sede 6,Independencia,Oeste,Cambio de aceite,Mantenimiento,90.23,Miguel Salazar,Miraflores,Premium,19-08-2025
19,2026-01-13,3,0.91,215.96,0,Presencial,Plin,1,247.03,Promocion,Sede 1,Ate,Sur,Afinamiento,Motor,215.96,Carlos Paredes,Independencia,Nuevo,2025-03-14
20,2026-05-11,1,1.78 aprox,111.57,12,Web,Plin,3,205.52,,Sede 2,AtE,Sur,Diagnostico scanner,Diagnostico,111.57,Fiorella Salazar,San Miguel,Premium,2025-09-13
21,2026-06-25,,10.0,143.51,8,WhatsApp,Plin,3,638.77,Cliente frecuente,Sede 4,Ate,  Este ,Revision electrica,,143.51,Fiorella Cruz,chorrillos,Frecuente,2025-04-07
22,28-03-2026,7,8.04,275.62,10,WHATSAPP,Efectivo,4,660.91,Revisar,Sede 3,,Oeste,SuSpEnSiOn,MECANICA,275.62,Victor Reyes,San Juan de Lurigancho,Nuevo,2025-09-15
23,2026-03-06,1,"6,57",143.51,0,Telefono,Tarjeta,3,439.89,Revisar,Sede 2,AtE,Sur,Revision electrica,,143.51,Andre Salazar,Chorrillos,Nuevo, 2025-07-12 
24,05/01/2026,2,2.95 aprox,90.23,12,Presencial,Efectivo,5,247.28,,Sede 2,AtE,Sur,Cambio de aceite,Mantenimiento,90.23,Carlos Torres,Chorrillos,Premium,2025-04-01
25,2026-01-06,1,4.92,182.15,20,Telefono,Transferencia,2,378.74,OK,Sede 1,Ate,Sur,Frenos,Seguridad,182.15,Raul Salazar,Ate,Nuevo,2025/10/07
26,2026-05-21,8,,90.23,8,App,Transferencia, 5 ,379.48,OK,Sede 4,Ate,  Este ,Cambio de aceite,Mantenimiento,90.23,Jose Sayan,Los Olivos,Premium,03/06/2025
27,2026-03-10,1,8.54,"90,23",20,Telefono,Transferencia,5,444.76,Revisar,Sede 1,Ate,Sur,Cambio de aceite,Mantenimiento,90.23,Fiorella Salazar,San Miguel,Premium,2025-09-13
28,2026-05-04,1,3.62,,20,,Tarjeta,1,378.76,OK,Sede 1,Ate,Sur,SuSpEnSiOn,MECANICA,275.62,Luis Flores,San Miguel,Nuevo,2025-08-19
29,2026-01-15,2,, 182.15 ,0,Presencial,yape,,429.93,,Sede 4,Ate,  Este ,Frenos,Seguridad,182.15,Pedro Salazar,La Molina,Regular,28/08/2025
30,2026-04-09,5,1.08,182.15,,Telefono,Yape,4,305.45,Promocion,Sede 2,AtE,Sur,Frenos,Seguridad,182.15,Victor Navarro,CHORRILLOS,Premium,2025-03-25
31,2026-01-25,7,11.77,90.23,12,Presencial,Transferencia,1,649.97,Revisar,Sede 1,Ate,Sur,Cambio de aceite,Mantenimiento,90.23,,INDEPENDENCIA,Frecuente,2025-09-25
32,2026-04-11,4,2.33,"275,62",20,Web,Tarjeta,5,419.57,,Sede 5,Independencia,Este,SuSpEnSiOn,MECANICA,275.62,Valeria Torres,Surco,Corporativo,2025-03-15
33,2026-05-21,3,8.93,,15,web,Yape,3,465.39,Cliente frecuente,Sede 2,AtE,Sur,Alineamiento,Mantenimiento,77.01,camila torres,Ventanilla,Regular,2025-01-26
34,2026-02-13,2,2.26,182.15,20,App,Transferencia,5,,Cliente frecuente,Sede 4,Ate,  Este ,Frenos,Seguridad,182.15,Camila Castillo,Villa El Salvador,Premium,2025-10-18
35,2026-02-22,8,8.14,90.23,8,PrEsEnCiAl,Transferencia,5,2378.79 aprox,,Sede 1,Ate,Sur,Cambio de aceite,Mantenimiento,90.23,Jose Sayan,Los Olivos,Premium,03/06/2025
36,2026-01-13,6,3.41,275.62,12,Presencial,Efectivo,3,472.17,Revisar,SEDE 7,Chorrillos,Este,SuSpEnSiOn,MECANICA,275.62,Pedro Gomez,Miraflores,regular,2025-10-08
37,2026-04-07,3, 7.92 ,,20,Web,Yape,4,S/ 570.37,Revisar,Sede 4,Ate,  Este ,Revision electrica,,143.51,Camila Mendoza,Lima,Frecuente,2025-10-17
