id_venta,fecha_operacion,cantidad_unidades,precio_venta_unitario,costo_unitario,descuento_pct,stock_inicial,stock_final,merma_unidades,canal,metodo_pago,monto_venta_soles,margen_venta_soles,observacion,tiendas_nombre,tiendas_distrito,tiendas_zona,tiendas_tipo_local,productos_nombre,productos_categoria,productos_proveedor,productos_costo_unitario,productos_precio_lista,clientes_nombre,clientes_distrito,clientes_segmento,clientes_fecha_registro
1,2026-01-22,67,15.06,10.04,8,82,15,0,Mostrador,Tarjeta,375.18,,Promocion,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Marco Quispe,Los Olivos,Vecino frecuente,27/12/2025
2,2026-01-04,37,9.42,5.94,8 aprox, 223 ,186,0,WhatsApp,Efectivo,270.35,181.56,Revisar stock,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Ana Soto,La Molina,Vecino frecuente,2025-12-11
3,2026-02-13,8,S/ 5.44,S/ 3.46,0,98,87,3 aprox,Mostrador,Efectivo,80.64,50.32,Revisar stock,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,Marco Mendoza,Ate,Ocasional,2025-08-23
4,06/06/2026,44,"12,76",8.24,3,167,123,0,Telefono,Tarjeta,430.38,261.86,Promocion,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Miguel Mendoza,Callao,Familia,2025-10-24
5,2026-02-19,61,9.28,5.96,0,180,118,1,Mostrador,Yape,460.04,268.68,Promocion,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Camila Castillo,San Miguel,Negocio,2025-12-18
6,2026-01-09,21,28.91,19.0,10,176,155,0,Mostrador,Tarjeta,198.6, -9.56 ,,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Ana Paredes,Callao,Ocasional,2025-06-26
7,2026-01-04,55,7.18, 4.89 ,10,127,72,0,WhatsApp,Efectivo,499.65,408.34,OK,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Yogurt familiar,Lacteos,Lacteos Lima,4.69,7.48,Raul Rojas,Comas,Negocio,2025-02-04
8,2026-01-13,51,2.76,1.6,3,265,214,0,WhatsApp,Efectivo,324.68,302.75,Revisar stock,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,galletas soda,Snacks,Dulcesur,1.64,2.79,Claudia Salazar,Chorrillos,Negocio,2025-08-23
9,2026-03-21,48,9.31,5.82 aprox,0,184,136,0,Telefono,Yape,334.42,206.12,,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Lucia Salazar,Lima,Ocasional,2025-08-17
10,2026-02-13,8,S/ 5.44,S/ 3.46,0,98,87,3 aprox,Mostrador,Efectivo,80.64,50.32,Revisar stock,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,Marco Mendoza,Ate,Ocasional,2025-08-23
11,2026-04-11,59,26.98,19.09,0, 126 ,67 aprox,0,Mostrador,Plin,506.38,-46.44,promocion,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Pedro Quispe,Los Olivos,Negocio,2025-08-05
12,2026-06-02,38,12.34,7.81,8,61,22,1,Delivery local,PLIN,271.35,107.03,,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,,La Molina,Vecino frecuente,2025-04-01
13,11/01/2026,43,S/ 4.84,3.27,0,215, 172 ,0,Delivery local,TRANSFERENCIA,340.89,251.74,Revisar  stock,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Raul Sayan,  Lima ,Mayorista pequeno,2025-05-18
14,19-03-2026,8,3.61,2.21,0,59,51,0,WhAtSaPp,Tarjeta,96.31,49.8,Cliente frecuente,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Jose Gomez,Surco,Negocio, 2025-04-09 
15,2026-05-17,42,5.41,3.25,10,207,165,0,DeLiVeRy lOcAl,Yape,318.91,291.97,Cliente frecuente,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Luis Paredes,surco,Vecino frecuente,2025-07-22
16,2026-04-09,49,7.83,4.86,0,189,139,1,Delivery local,Plin,353.01,228.19,,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Yogurt familiar,Lacteos,Lacteos Lima,4.69,7.48,Luis Quispe,Ventanilla,Negocio,2025-11-12
17,2026-05-01,53,7.15,4.31, 0 ,252,198,1,WhatsApp,Plin,377.84,261.14,Promocion,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Atun en lata,Conservas,Mar Azul,4.39,6.74,Valeria Navarro,Los Olivos,Ocasional,2025-09-23
